Articulo;EAN;Descripcion;Vigencia;Marca;Stock;FechBloqBasico;BloqCanalJumbo;FechBloqCanalJumbo;BloqCanalSisa;FechBloqCanalSisa;BloqCanalJSuper;FechBloqCanalJSuper;01 Ful A;02 Ful B;03 Meg A;04 Meg B;05 PREF_GR;06 PREF_ME;07 PREF_PE;08 CMED_GR;09 CMED_ME;10 CMED_PE;11 CPAL_ME;12 CPAL_PE;13 CPBA_ME;14 CPBA_PE;15 MIXT_GR;16 MIXT_ME;17 MIXT_PE;18 EMER_GR;19 EMER_ME;20 EMER_PE;21 PREF_MINI;22 CMED_MINI;23 CPAL_MINI;24 CPBA_MINI;25 MIXT_MINI;26 EMER_MINI
1391056;7802800586325;BEBIDA INST LIVEAN LIMONADA MANGO;Vigente;LIVEAN;100;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1391054;7802800570232;BEBIDA TANG 168X45 HUESILLO;Vigente;TANG;458;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1391058;7802800586349;BEBIDA INST LIVEAN LIMONADA JENGIBR;Vigente;LIVEAN;454;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1391057;7802800586332;BEBIDA INST LIVEAN LIMONADA FRAMBUE;Caducado;LIVEAN;68;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1391059;7802800586806;BEBIDA INST LIVEAN TE NEGRO FRAMBUE;Vigente;LIVEAN;169;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1497628;7802800574360;TANG TEA FRUT DUR 45 G;Vigente;TANG;130;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497629;7802800574391;ZK TEAFRUT  TE VERDE LIMON;Vigente;TANG;415;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497630;7802800574377;ZK TEAFRUT TE MANZANA;Vigente;TANG;441;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
1497632;7802800573752;TANG  TUTIFRUTI NA-DU-MAN 45 G;Vigente;TANG;444;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497636;7802800574247;GO! ZK LIGHT 4(25X8) FRUTAS TROPICALES;Vigente;TANG;543;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
1497643;7802800587162;LIV BLENDS 10(10X2.5) MOJITO;Vigente;LIVEAN;389;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
1497644;7802800587179;LIV BLENDS 10(10X2.5) CAIPIRINHA;Vigente;LIVEAN;484;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
1497648;7802800487929;LIV POCK 10(10X4) MANZANA VERDE;Vigente;LIVEAN;679;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497649;7802800487936;LIV POCK 10(10X4) PI„A;Vigente;LIVEAN;167;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
1497650;7802800487943;LIV POCK 10(10X4) BERRIES;Vigente;LIVEAN;116;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
1497652;7802800587520;LIVEAN 4(25X7) ROCIO MANZ/UVA BCA;Vigente;LIVEAN;209;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497653;7802800587537;LIVEAN 4(25X7) BRISA DURAZ/POME;Vigente;LIVEAN;381;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497631;7802800574384;TANG TEA FRUT FRAMB 45 G;Vigente;TANG;226;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497633;7802800573769;TANG  TUTIFRUTI  PI-MAN-GU. 45 G;Vigente;TANG;96;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497634;7802800573776;ZK NAC TUTIFRUTI 6(28X45) FRU-KW-PLA;Vigente;TANG;742;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497635;7802800574230;GO! ZK LIGHT 4(25X8) NARANJA;Vigente;TANG;538;0;7;Ene 21 2014 12:00AM;7;Ene 21 2014 12:00AM;7;Ene 21 2014 12:00AM;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497637;7802800574254;GO! ZK LIGHT 4(25X8) BLUE;Vigente;TANG;425;0;1;Ene 28 2014 12:00AM;1;Ene 28 2014 12:00AM;1;Ene 28 2014 12:00AM;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497638;7802800587216;LIV BLENDS 4(25X12) PISCO SOUR;Vigente;LIVEAN;390;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497639;7802800587230;LIV BLENDS 4(25X10) MOJITO;Vigente;LIVEAN;696;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497640;7802800587247;LIV BLENDS 4(25X10) CAIPIRINHA;Vigente;LIVEAN;691;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497641;7802800587254;LIV BLENDS 4(25X8) PI„A COLADA;Vigente;LIVEAN;158;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497642;7802800587148;LIV BLENDS 10(10X3) PISCO SOUR;Vigente;LIVEAN;703;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
1497645;7802800587186;LIV BLENDS 10(10X2) PI„A COLADA;Vigente;LIVEAN;274;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
1497646;7802800586608;LIV NAC 4(25X8) HUESILLO;Vigente;LIVEAN;226;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497647;7802800487912;LIV POCK 10(10X4) NARANJA;Vigente;LIVEAN;370;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497651;7802800587513;LIVEAN 4(25X7) AMANECER PI„A/COCO;Vigente;LIVEAN;432;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1497654;7802800587544;LIVEAN 4(25X7) ATARDECER NARJ/FRUTI;Vigente;LIVEAN;724;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
1516543;7802800586400;PACK LIVEAN 10 X 7 GRS;Vigente;LIVEAN;710;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
1516542;7802800571352;PACK TANG 7 X 45 GRS;Vigente;TANG;287;0;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1536072;7802800544677;LIVEAN NECTAR PERA 1.5L;Vigente;LIVEAN;751;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1536073;7802800544684;LIVEAN NECTAR PI„A 1.5 L;Vigente;LIVEAN;214;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1536074;7802800544691;LIVEAN NECTAR FRUTILLA 1.5 L;Vigente;LIVEAN;660;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498023004;7802800552047;*REFRESCO YUPI 20GR, PI„A;Vigente;YUPI;494;0;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
498023005;7802800552108;*REFRESCO YUPI 20GR, DURAZNO;Vigente;YUPI;658;0;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
498023006;7802800552016;*REFRESCO YUPI 20GR, FRUTILLA;Vigente;YUPI;229;0;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
498023013;7802800552078;*REFRESCO YUPI 20GR, LIMALIMON;Vigente;YUPI;740;0;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
498025004;7802800551231;REFRESCO FLASH 200GR, PI„A;Vigente;FLASH;602;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
498025010;7802800551330;REFRESCO FLASH 200GR, NARANJA PLATANO;Vigente;FLASH;147;0;;;17;Oct 16 2008 12:00AM;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
498026001;7802800572212;JUGOS INSTANT TANG  45 GR, DAMASCO;Vigente;TANG;144;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
498026002;7802800570614;JUGOS INSTANT TANG  45 GR, MELON TUNA;Vigente;TANG;459;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498026005;7802800572427;JUGOS INSTANT TANG  45 GR, DURAZNO;Vigente;TANG;71;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498026010;7802800572243;JUGOS INSTANT TANG  45 GR, NARANJA;Vigente;TANG;548;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498026012;7802800570683;JUGOS INSTANT TANG  45 GR, GUARANA;Vigente;TANG;679;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;1;1;1;1;1;1
498026016;7802800570553;*JUGOS INSTANT TANG  45, NARANJA PLATANO;Vigente;TANG;172;0;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
498029003;7802800576012;TANG LIGHT 14GR, NARANJA;Vigente;TANG;673;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498029004;7802800576029;TANG LIGHT 14GR, PI„A;Vigente;TANG;590;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498029008;7802800576036;TANG LIGHT 14GR, DURAZNO;Vigente;TANG;655;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498029009;7802800576081;TANG LIGHT 14GRS, FRAMBUESA;Vigente;TANG;704;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
498031005;7802800574070;BEBIDA ISOTONICA INST. GO TANG, NARANJA;Vigente;TANG;767;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498032001;7802800576432;JUGO INST. LIVEAN 7GR, MANZANA;Vigente;LIVEAN;434;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498032004;7802800576692;JUGO INST. LIVEAN 7GR, PERAAGUA;Vigente;LIVEAN;397;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498032009;7802800576739;JUGO INST. LIVEAN 7GR, BERRIES;Vigente;LIVEAN;317;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
498032011;7802800576449;JUGO INST. LIVEAN 7GR, DURAZNO;Vigente;LIVEAN;701;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498032012;7802800576517;JUGO INST. LIVEAN 7GR, FRUTILLA;Vigente;LIVEAN;334;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498032019;7802800586677;JUGO INST. LIVEAN 7GR, POMELO ROSADO;Vigente;LIVEAN;68;0;;;;;;;1;1;1;1;1;1;;1;1;1;;;;;;;;;;;;;;;;
498023001;7802800552061;*REFRESCO YUPI 20GR, PAPAYA;Vigente;YUPI;691;0;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
498023002;7802800552030;*REFRESCO YUPI 20GR, NARANJA;Vigente;YUPI;93;0;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
498023012;7802800552023;*REFRESCO YUPI 20GR, FRAMBUESA;Vigente;YUPI;700;0;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
498025001;7802800551224;REFRESCO FLASH 200GR, NARANJA;Vigente;FLASH;649;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
498025009;7802800551255;REFRESCO FLASH 200GR, FRUTILLA;Vigente;FLASH;229;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
498026004;7802800572250;JUGOS INSTANT TANG  45 GR, PI„A;Vigente;TANG;536;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498026006;7802800572526;JUGOS INSTANT TANG  45 GR, FRUTILLA;Vigente;TANG;130;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498026008;7802800572489;JUGOS INSTANT TANG  45 GR, FRAMBUESA;Vigente;TANG;179;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498026015;7802800572267;JUGOS INSTANT TANG  45 GR, MANZANA;Vigente;TANG;497;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498031001;7802800574049;BEBIDA ISOTONICA INST. G, FRUTA TROPICA;Vigente;TANG;771;0;;;;;;;1;1;1;1;;;;;;;;;;;1;;;1;;;;;;;;
498031006;7802800574094;BEBIDA ISOTONICA INST. GO TANG 60G, BLUE;Vigente;TANG;670;0;;;;;;;1;1;1;1;;;;;;;;;;;1;;;1;;;;;;;;
498032002;7802800576746;JUGO INST. LIVEAN 7GR, MELON TUNA;Vigente;LIVEAN;687;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
498032003;7802800576418;JUGO INST. LIVEAN 7GR, NARANJA;Vigente;LIVEAN;483;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498032005;7802800576456;JUGO INST. LIVEAN 7GR, PI„A;Vigente;LIVEAN;578;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498032007;7802800576715;JUGO INST. LIVEAN 7GR, MANGO;Vigente;LIVEAN;637;0;;;;;;;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
498032017;7802800576791;JUGO INST. LIVEAN 7GR, PAPAYA;Vigente;LIVEAN;137;0;;;;;;;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;1;
498201003;7802800575251;NECTAR YUZ LV 200CC, MANZANA;Vigente;YUZ;371;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498201005;7802800575237;NECTAR YUZ LV 200CC, DURAZNO;Vigente;YUZ;745;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498201001;7802800575022;NECTAR YUZ LV 200CC, PI„A;Vigente;YUZ;587;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498201002;7802800575213;NECTAR YUZ LV 200CC, NARANJA;Vigente;YUZ;645;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
498344007;7802800572304;JUGO INST. TANG 45GR, MANGO;Vigente;TANG;385;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
526679001;7802800570737;JUGO INST. TANG NUTR 45 GR, NAR/ZAN/PLA;Vigente;TANG;211;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
583574002;7802800543823;NECTAR YUZ SQ 1000CC, PINA;Vigente;YUZ;119;0;;;;;;;1;1;1;1;;;;;;;;;;;1;;;;;;;;;;;
583574003;7802800543830;NECTAR YUZ SQ 1000CC, DURAZNO;Vigente;YUZ;602;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
526679002;7802800570744;JUGO INST. TANG NUTR 45 GR, FRU/MAN/PI„;Vigente;TANG;699;0;;;;;;;1;1;1;1;1;1;;1;1;1;;;;;1;;;1;;;;;;;;
583574001;7802800543816;NECTAR YUZ SQ 1000CC, NARANJA;Vigente;YUZ;124;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
583574007;7802800543878;NECTAR YUZ SQ 1000CC, MULTIFRUTA;Vigente;YUZ;269;0;;;;;;;1;1;1;1;1;1;;1;1;1;1;;1;;;;;;;;;;;;;
583575001;7802800540815;NECTAR YUZ SQ LIGHT 1000, NARANJA;Vigente;YUZ;690;0;;;;;;;1;1;1;1;1;1;;1;1;1;1;;1;;;;;;;;;;;;;
583575002;7802800540822;NECTAR YUZ SQ LIGHT 1000, DURAZNO;Vigente;YUZ;76;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
583575003;7802800540846;NECTAR YUZ SQ LIGHT 1000, PINA;Vigente;YUZ;749;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
594046001;7802800576821;*LIVEAN TE VERDE  7 GR, LIMON;Vigente;LIVEAN;741;0;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;9;Ene 20 2014 12:00AM;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
907637001;7802800586431;JUGO INST LIVEAN ANTIOX 7, MANZANA VERDE;Vigente;LIVEAN;669;0;7;Ene 28 2014 12:00AM;7;Ene 28 2014 12:00AM;7;Ene 28 2014 12:00AM;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
907637002;7802800586455;JUGO INST LIVEAN ANTIOX 7GR, PI„A;Vigente;LIVEAN;189;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
907637003;7802800586530;JUGO INST LIVEAN ANTIOX 7GR, FRAMBUESA;Vigente;LIVEAN;337;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
916189005;7802800574667;JUGO INST. TANG ZERO 7 GR, BERRIES;Vigente;TANG;662;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
916189001;7802800574629;JUGO INST. TANG ZERO 7 GR, PI„A;Vigente;TANG;242;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
916189002;7802800574636;JUGO INST. TANG ZERO 7 GR, DURAZNO;Vigente;TANG;529;0;;;;;;;1;1;1;1;;;;;;;;;;;1;;;1;;;;;;;;
916189011;7802800574759;JUGO INST. TANG ZERO 7 GR, NAR/POM/LIM;Vigente;TANG;529;0;;;;;;;1;1;1;1;;;;;;;;;;;1;;;1;;;;;;;;
981778001;7802800544318;NECTAR LIVEAN TETRA 200CC, NARANJA;Vigente;LIVEAN;748;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
981778002;7802800544325;NECTAR LIVEAN TETRA 200CC, DURAZNO;Vigente;LIVEAN;549;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
985710001;7802800544165;NECTAR LIVEAN TETRA 1 LT, NARANJA;Vigente;LIVEAN;118;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
985710002;7802800544172;NECTAR LIVEAN TETRA 1 LT, DURAZNO;Vigente;LIVEAN;129;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
985710003;7802800544189;NECTAR LIVEAN TETRA 1 LT, MANZANA;Vigente;LIVEAN;417;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
985710005;7802800544202;NECTAR LIVEAN TETRA 1 LT, ARANDANO;Vigente;LIVEAN;469;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
985712002;7802800544622;NECTAR LIVEAN PET 1.5 LT, DURAZNO;Vigente;LIVEAN;650;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
985712003;7802800544639;NECTAR LIVEAN PET 1.5 LT, MANZANA;Vigente;LIVEAN;548;0;;;;;;;1;1;1;1;1;;;1;1;;;;;;1;;;;;;;;;;;
985712004;7802800544646;NECTAR LIVEAN PET 1.5 LT, UVA;Vigente;LIVEAN;416;0;;;;;;;1;1;1;1;1;;;1;1;;;;;;;;;;;;;;;;;
985713002;7802800543625;NECTAR YUZ LIGHT TETRA 200 CC, PI„A;Vigente;YUZ;76;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
985713003;7802800543632;NECTAR YUZ LIGHT TETRA 200 CC, DURAZNO;Vigente;YUZ;209;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
990378002;7802800544776;NECTAR YUZ LIGHT BA 1.5LT, DURAZNO;Vigente;YUZ;443;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
990379001;7802800545216;NECTAR YUZ B ANCHA 1.5 LT, NARANJA;Vigente;YUZ;442;0;;;;;;;1;1;1;1;1;1;;1;1;1;1;;1;;1;1;1;1;1;;;;;;;
990379004;7802800545247;NECTAR YUZ B ANCHA 1.5 LT, DAMASCO;Vigente;YUZ;202;0;;;;;;;1;1;1;1;1;1;;1;1;1;1;;1;;1;1;1;1;1;;;;;;;
990379005;7802800545254;NECTAR YUZ B ANCHA 1.5 LT, MANZANA;Vigente;YUZ;728;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
981778003;7802800544332;NECTAR LIVEAN TETRA 200CC, MANZANA;Vigente;LIVEAN;774;0;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;
985710004;7802800544196;NECTAR LIVEAN TETRA 1 LT, UVA;Vigente;LIVEAN;207;0;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;
985712001;7802800544615;NECTAR LIVEAN PET 1.5 LT, NARANJA;Vigente;LIVEAN;772;0;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;
